title;pid;url
Les grands arrêts du droit communautaire;PUF_MASCL_2007_01;http://www.cairn.info/les-grands-arrets-du-droit-communautaire--9782130563938.htm
Les gros mots;PUF_ROUAY_1998_01;http://www.cairn.info/les-gros-mots--9782130477983.htm
La grossesse et le tabac;PUF_DELCR_2011_01;http://www.cairn.info/la-grossesse-et-le-tabac--9782130572503.htm
Les groupes d'intérêt;DEC_COURT_2006_01;http://www.cairn.info/les-groupes-d-interet--9782707148865.htm
La guerre;PUF_TERTR_2010_01;http://www.cairn.info/la-guerre--9782130573968.htm
La guerre d’Algérie (1954-1962);PUF_PERVI_2012_01;http://www.cairn.info/la-guerre-d-algerie-1954-1962--9782130592471.htm
La guerre d'Espagne (1936-1939);PUF_VILAR_2002_01;http://www.cairn.info/la-guerre-d-espagne-(1936-1939)--9782130531128.htm
La guerre de Cent Ans;PUF_CONTA_2010_01;http://www.cairn.info/la-guerre-de-cent-ans--9782130583226.htm
La guerre de Sécession;PUF_AMEUR_2013_01;http://www.cairn.info/la-guerre-de-secession--9782130608608.htm
La guerre économique;PUF_DELBE_2011_01;http://www.cairn.info/la-guerre-economique--9782130580829.htm
La guerre froide;DEC_JEANN_2002_01;http://www.cairn.info/la-guerre-froide--9782707135087.htm
Les guerres de religion, 1559-1598;PUF_LIVET_2002_01;http://www.cairn.info/les-guerres-de-religion,-1559-1598--9782130524960.htm
Le handicap;PUF_RABIS_2012_01;http://www.cairn.info/le-handicap--9782130592136.htm
Handicap et maladie mentale;PUF_LIBER_2011_01;http://www.cairn.info/handicap-et-maladie-mentale--9782130590187.htm
L’haptonomie;PUF_DECAN_2011_01;http://www.cairn.info/l-haptonomie--9782130586586.htm
Les harkis;DEC_CHARB_2006_01;http://www.cairn.info/les-harkis--9782707147745.htm
La haute couture;PUF_MARIE_2000_01;http://www.cairn.info/la-haute-couture--9782130510482.htm
Les hedge funds;DEC_TEILE_2009_01;http://www.cairn.info/les-hedge-funds--9782707152985.htm
Hegel et l’hégélianisme;PUF_KERVE_2005_01;http://www.cairn.info/hegel-et-l-hegelianisme--9782130534051.htm
L’héritage;PUF_GOTMA_2006_01;http://www.cairn.info/l-heritage--9782130554905.htm
L’herméneutique;PUF_GROND_2008_01;http://www.cairn.info/l-hermeneutique--9782130570875.htm
L'hindouisme;PUF_RENOU_2008_01;http://www.cairn.info/l-hindouisme--9782130521709.htm
Histoire constitutionnelle de la France;PUF_BODIN_2004_01;http://www.cairn.info/histoire-constitutionnelle-de-la-france--9782130549109.htm
L’histoire culturelle;PUF_ORY_2011_01;http://www.cairn.info/l-histoire-culturelle--9782130586517.htm
Histoire de Byzance;PUF_CHEYN_2009_01;http://www.cairn.info/histoire-de-byzance--9782130572282.htm
Histoire de Genève;PUF_DUFOU_2010_01;http://www.cairn.info/histoire-de-geneve--9782130583677.htm
Histoire de l’enseignement en France;PUF_LEON_2012_01;http://www.cairn.info/histoire-de-l-enseignement-en-france--9782130591795.htm
Histoire de l'Allemagne;PUF_DROZ_2003_01;http://www.cairn.info/histoire-de-l-allemagne--9782130537397.htm
Histoire de l'éducation;PUF_VIAL_2009_01;http://www.cairn.info/histoire-de-l-education--9782130575092.htm
Histoire de l'enfer;PUF_MINOI_1994_01;http://www.cairn.info/histoire-de-l-enfer--9782130460213.htm
Histoire de l’Algérie coloniale (1830-1954);DEC_STORA_2004_03;http://www.cairn.info/histoire-de-l-algerie-coloniale-(1830-1954)--9782707144669.htm
Histoire de l’Algérie depuis l’indépendance 1. 1962-1988;DEC_STORA_2004_01;http://www.cairn.info/histoire-de-l-algerie-depuis-l-independance-1-1962--9782707144058.htm
Histoire de l’Amérique latine;PUF_CHAUN_2009_01;http://www.cairn.info/histoire-de-l-amerique-latine--9782130578710.htm
Histoire de l’architecture;PUF_MONNI_2010_01;http://www.cairn.info/histoire-de-l-architecture--9782130582687.htm
Une histoire de l’humanitaire;DEC_RYFMA_2008_01;http://www.cairn.info/une-histoire-de-l-humanitaire--9782707153982.htm
Histoire de l’identification des personnes;DEC_ABOUT_2010_01;http://www.cairn.info/histoire-de-l-identification-des-personnes--9782707159007.htm
Histoire de l’immigration;DEC_BLANC_2001_01;http://www.cairn.info/histoire-de-l-immigration--9782707135858.htm
Histoire de l’Inde;PUF_BOIVI_2011_01;http://www.cairn.info/histoire-de-l-inde--9782130586494.htm
Histoire de l’Iran contemporain;DEC_DJALI_2010_01;http://www.cairn.info/histoire-de-l-iran-contemporain--9782707146410.htm
Histoire de l’Union soviétique de Lénine à Staline (1917-1953);PUF_WERTH_2007_02;http://www.cairn.info/histoire-de-l-union-sovietique-de-lenine-a-staline--9782130561439.htm
Histoire de l’URSS;DEC_DULLI_2009_01;http://www.cairn.info/histoire-de-l-urss--9782707156860.htm
Histoire de la Bourse;DEC_LAGNE_2012_01;http://www.cairn.info/histoire-de-la-bourse--9782707171665.htm
Histoire de la Bretagne;PUF_CHEDE_1996_01;http://www.cairn.info/histoire-de-la-bretagne--9782130455011.htm
Histoire de la consommation;DEC_CHESS_2012_01;http://www.cairn.info/histoire-de-la-consommation--9782707171658.htm
Histoire de la franc-maçonnerie française;PUF_DACHE_2011_01;http://www.cairn.info/histoire-de-la-franc-maconnerie-francaise--9782130589174.htm
Histoire de la géographie;PUF_CLAVA_2011_01;http://www.cairn.info/histoire-de-la-geographie--9782130586524.htm
Histoire de la grammaire française;PUF_CHEVA_1996_01;http://www.cairn.info/histoire-de-la-grammaire-francaise--9782130465898.htm
Histoire de la guerre d’Algérie;DEC_STORA_2004_02;http://www.cairn.info/histoire-de-la-guerre-d-algerie-1954-1962--9782707142931.htm
Histoire de la laïcité en France;PUF_BAUBE_2010_01;http://www.cairn.info/histoire-de-la-laicite-en-france--9782130581253.htm
Histoire de la langue française;PUF_CHAUR_2006_01;http://www.cairn.info/histoire-de-la-langue-francaise--9782130556664.htm
Histoire de la musique en Europe;PUF_FRANC_2012_01;http://www.cairn.info/histoire-de-la-musique-en-europe--9782130595519.htm
Histoire de la philosophie;DEC_RUBY_2004_01;http://www.cairn.info/histoire-de-la-philosophie--9782707143303.htm
Histoire de la photographie;PUF_AMAR_1999_01;http://www.cairn.info/histoire-de-la-photographie--9782130481225.htm
Histoire de la poésie française;PUF_ROUSS_1996_01;http://www.cairn.info/histoire-de-la-poesie-francaise--9782130434610.htm
Histoire de la presse;PUF_ALBER_2010_01;http://www.cairn.info/histoire-de-la-presse--9782130582670.htm
Histoire de la Provence;PUF_AGULH_2007_01;http://www.cairn.info/histoire-de-la-provence--9782130517009.htm
Histoire de la psychanalyse;PUF_PERRO_2009_01;http://www.cairn.info/histoire-de-la-psychanalyse--9782130575016.htm
Histoire de la psychiatrie;PUF_HOCHM_2011_01;http://www.cairn.info/histoire-de-la-psychiatrie--9782130586487.htm
Histoire de la psychologie;PUF_REUCH_2010_01;http://www.cairn.info/histoire-de-la-psychologie--9782130585886.htm
Histoire de la Résistance en France;PUF_MURAC_2012_01;http://www.cairn.info/histoire-de-la-resistance-en-france--9782130592990.htm
Histoire de la Rome antique;PUF_LEBOH_2012_01;http://www.cairn.info/histoire-de-la-rome-antique--9782130591061.htm
Histoire de la Shoah;PUF_BENSO_2012_01;http://www.cairn.info/histoire-de-la-shoah--9782130593249.htm
title;DEC_KOTT_2011_01;http://www.cairn.info/histoire-de-la-societe-allemande-au-xxe  siecle--9782707169068.htm
title;DEC_LATTA_2011_01;http://www.cairn.info/histoire-de-la-societe-allemande-au-xxe siècle--9782707157737.htm
title;DEC_VINCE_2011_01;http://www.cairn.info/histoire-de-la-societe-allemande-au-XXe-siecle--9782707156808.htm
Histoire de la société chinoise;DEC_ANGEL_2010_01;http://www.cairn.info/histoire-de-la-societe-chinoise-1949-2009--9782707156761.htm
Histoire de la société de l’information;DEC_MATTE_2009_02;http://www.cairn.info/histoire-de-la-societe-de-l-information--9782707157980.htm
Histoire de la sociologie;PUF_GIRAU_2004_01;http://www.cairn.info/histoire-de-la-sociologie--9782130545323.htm
Histoire de la sociologie;DEC_CUIN_2002_02;http://www.cairn.info/histoire-de-la-sociologie-tome-2-depuis-1918--9782707138958.htm
Histoire de la sociologie;DEC_CUIN_2002_01;http://www.cairn.info/histoire-de-la-sociologie-tome-1-avant-1918--9782707138941.htm
Histoire de la Suisse;PUF_BOUQU_2011_01;http://www.cairn.info/histoire-de-la-suisse--9782130588375.htm
Histoire de la Turquie contemporaine;DEC_BOZAR_2010_01;http://www.cairn.info/histoire-de-la-turquie-contemporaine--9782707151407.htm
Histoire de l'art;PUF_BARRA_2013_01;http://www.cairn.info/histoire-de-l-art--9782130608592.htm
Histoire de l’Union soviétique de Khrouchtchev à Gorbatchev (1953-1991);PUF_WERTH_2007_01;http://www.cairn.info/histoire-de-l-union-sovietique-de-khrouchtchev-a-g--9782130542407.htm
Histoire de Venise;PUF_BEC_2010_01;http://www.cairn.info/histoire-de-venise--9782130580928.htm
Histoire des Arabes;PUF_SOURD_2007_01;http://www.cairn.info/histoire-des-arabes--9782130564904.htm
Histoire des Cévennes;PUF_CABAN_2013_01;http://www.cairn.info/histoire-des-cevennes--9782130608431.htm
Histoire des Etats-Unis;PUF_REMON_2007_01;http://www.cairn.info/histoire-des-etats-unis--9782130533580.htm
Histoire des États-Unis;PUF_DURPA_2013_01;http://www.cairn.info/histoire-des-etats-unis--9782130592334.htm
Histoire des idées politiques en France au XIXe siècle;DEC_GROND_1998_01;http://www.cairn.info/histoire-des-idees-politiques-en-france-au-xixe-si--9782707128508.htm
Histoire des idées socialistes en France;DEC_CASTA_1997_01;http://www.cairn.info/histoire-des-idees-socialistes-en-france--9782707127372.htm
