title;pid;url
L'Année de la régulation n° 6 (2002-2003);SCPO_COLLE_2002_01;http://www.cairn.info/l-annee-de-la-regulation-n-6-2002-2003--9782724608925.htm
L'Année de la régulation n° 7 (2003-2004);SCPO_COLLE_2003_01;http://www.cairn.info/l-annee-de-la-regulation-n-7-2003-2004--9782724609255.htm
L'Année de la régulation n° 8 (2004-2005);SCPO_COLLE_2004_01;http://www.cairn.info/l-annee-de-la-regulation-n-8-2004-2005--9782724609514.htm
L'annonce du handicap autour de la naissance en douze questions;ERES_BENSO_2006_01;http://www.cairn.info/l-annonce-du-handicap-autour-de-la-naissance--9782749205854.htm
Anorexie et boulimie;DBU_PASSEL_2006_01;http://www.cairn.info/anorexie-et-boulimie--9782804152253.htm
L'anthropologie de Lévi-Strauss et la psychanalyse;DEC_DRACH_2008_01;http://www.cairn.info/l-anthropologie-de-levi-strauss-et-la-psychanalyse--9782707151988.htm
Apprendre à philosopher par la discussion;DBU_TOZZI_2007_01;http://www.cairn.info/apprendre-a-philosopher-par-la-discussion--9782804155230.htm
Apprentissage d'une langue étrangère/seconde Vol. 1;DBU_VRIEN_2000_01;http://www.cairn.info/apprentissage-d-une-langue-etrangere-1--9782804126186.htm
Apprentissage d'une langue étrangère/seconde Vol. 2;DBU_RENAR_2002_01;http://www.cairn.info/apprentissage-d-une-langue-etrangere-seconde-2--9782804134921.htm
Apprentissage d'une langue étrangère/seconde Vol. 3;DBU_RIVEN_2003_01;http://www.cairn.info/apprentissage-d-une-langue-etrangere-seconde-3--9782804142773.htm
Apprentissage d'une langue étrangère/seconde. Vol. 4;DBU_BARBE_2005_01;http://www.cairn.info/apprentissage-d-une-langue-etrangere-4--9782804143794.htm
Approches didactiques de l'interdisciplinarité;DBU_FOURE_2002_01;http://www.cairn.info/approches-didactiques-de-l-interdisciplinarite--9782804138394.htm
Après Mélanie Klein;GREU_ARNOU_2000_01;http://www.cairn.info/apres-melanie-klein--2825706604.htm
L'arbre de vie;ERES_LEBOV_2009_01;http://www.cairn.info/l-arbre-de-vie--9782749210605.htm
L'archéologie préventive dans le monde;DEC_DEMOU_2007_01;http://www.cairn.info/l-archeologie-preventive-dans-le-monde--9782707152121.htm
Archives et histoire dans les sociétés postcommunistes;DEC_COMBE_2009_01;http://www.cairn.info/archives-et-histoire-dans-les-societes-postcommuni--9782707157317.htm
L'argent;DEC_DRACH_2004_01;http://www.cairn.info/l-argent--9782707143129.htm
L'argent de l'influence;AUTRE_TOURN_2010_02;http://www.cairn.info/l-argent-de-l-influence--9782746714410.htm
L'art d'inventer l'existence dans les pratiques médico-sociales;ERES_PAWLO_2010_01;http://www.cairn.info/l-art-d'inventer-l-existence-dans-les-pratiques-me--9782749211763.htm
Art et philosophie, ville et architecture;DEC_PAQUO_2003_01;http://www.cairn.info/art-et-philosophie--9782707141484.htm
Association, démocratie et société civile;DEC_LAVIL_2001_02;http://www.cairn.info/association-democratie-et-societe-civile--9782707146910.htm
L'atelier du politiste;DEC_FAVRE_2007_01;http://www.cairn.info/l-atelier-du-politiste--9782707151933.htm
Atlas électoral 2007;SCPO_PERRI_2007_01;http://www.cairn.info/l-atlas-electoral-2007--9782724610116.htm
L'attachement, de la théorie à la clinique;ERES_HUMB_2007_01;http://www.cairn.info/l-attachement-de-la-theorie-a-la-clinique--9782749205069.htm
Au commencement était la voix;ERES_KONOP_2005_01;http://www.cairn.info/au-commencement-etait-la-voix--9782749205311.htm
Au-delà du stress au travail;ERES_WELLE_2008_01;http://www.cairn.info/au-dela-du-stress-au-travail--9782749208497.htm
Au fil de la parole, des groupes pour dire;ERES_DECAE_2005_01;http://www.cairn.info/au-fil-de-la-parole-des-groupes-pour-dire--9782749205021.htm
Au jeu du miroir : le nouveau monde de l’image;ERES_CHOUL_2004_01;http://www.cairn.info/au-jeu-du-miroir-le-nouveau-monde-de-l-image--2910729490.htm
Au nom du 11 septembre... ;DEC_BIGO_2008_01;http://www.cairn.info/au-nom-du--9782707153296.htm
Au nom du consommateur;DEC_CHATR_2005_01;http://www.cairn.info/au-nom-du-consommateur--9782707145093.htm
Au plus près de l'expérience psychotique;ERES_BALES_2009_01;http://www.cairn.info/au-plus-pres-de-l-experience-psychotique--9782749211350.htm
Autisme : état des lieux et horizons;ERES_DELIO_2008_02;http://www.cairn.info/autisme-etat-des-lieux-et-horizons--9782749205076.htm
Autoritarismes démocratiques. Démocraties autoritaires au XXIe siècle;DEC_DABEM_2008_01;http://www.cairn.info/autoritarismes-democratiques--9782707156266.htm
Aux limites du sujet;ERES_CHEML_2006_01;http://www.cairn.info/aux-limites-du-sujet--9782749205892.htm
Aux origines de l’action sociale;ERES_FELLE_2001_01;http://www.cairn.info/aux-origines-de-l-action-sociale--9782865868407.htm
L'avenir du passé;DEC_DEMOU_2008_01;http://www.cairn.info/l-avenir-du-passe --9782707154958.htm
Avons-nous encore besoin d'un tiers ?;ERES_LEBRU_2005_02;http://www.cairn.info/avons-nous-encore-besoin-d-un-tiers--9782749205236.htm
Les banlieues de l'Europe;SCPO_RUPNI_2007_01;http://www.cairn.info/les-banlieues-de-l-europe-les-politiques-de-voisin--9782724610444.htm
Barbie, Touvier, Papon;AUTRE_SALAS_2002_01;http://www.cairn.info/barbie-touvier-papon--9782746702639.htm
Le bas de l'échelle;ERES_LELAY_2006_01;http://www.cairn.info/le-bas-de-l-echelle--9782749205526.htm
Bébés-ados : à corps et à cri;ERES_GOLSE_2008_01;http://www.cairn.info/bebes-ados-a-corps-et-a-cri--9782749208688.htm
Le bébé du diagnostic prénatal;ERES_SEGUR_2003_01;http://www.cairn.info/le-bebe-du-diagnostic-prenatal--9782749201856.htm
Bébé est mort;ERES_CLERG_2005_01;http://www.cairn.info/bebe-est-mort--9782749204673.htm
Le bébé et ses institutions;ERES_DELIO_2001_01;http://www.cairn.info/le-bebe-et-ses-institutions--9782865869459.htm
Le bébé, ses parents, leurs soignants;ERES_MYRIA_2008_01;http://www.cairn.info/le-bebe-ses-parents-leurs-soignants--9782749209944.htm
Les bébés à risque autistique;ERES_DELIO_2008_03;http://www.cairn.info/les-bebes-a-risque-autistique--9782749209739.htm
Bébés agressifs, bébés agressés;ERES_GOLSE_2008_03;http://www.cairn.info/bebes-agressifs-bebes-agresses--9782749209715.htm
Bébés et cultures;ERES_DUGNA_2008_01;http://www.cairn.info/bebes-et-cultures--9782749210131.htm
BECS&nbsp: Batterie d'évaluation cognitive et socio-émotionnelle;DBU_ADRIE_2008_01;http://www.cairn.info/batterie-d-evaluation-cognitive--9782804159078.htm
Les bégaiements de l'adulte;MARD_PIERA_2011_01;http://www.cairn.info/les-begaiements-de-l-adulte--9782804700737.htm
La berceuse;ERES_ALTMA_2008_01;http://www.cairn.info/la-berceuse--9782749209258.htm
Bifurcations;DEC_BESSI_2009_01;http://www.cairn.info/bifurcations--9782707156006.htm
Le bilan d’Obama;SCPO_RICHO_2012_01;http://www.cairn.info/le-bilan-d-obama--9782724611915.htm
Bilan neuropsychologique de l'enfant;MARD_NOEL_2007_01;http://www.cairn.info/bilan-neuropsychologique-de-l-enfant--9782870099643.htm
La bioéquité;AUTRE_BELLI_2009_01;http://www.cairn.info/la-bioequite--9782746712669.htm
La boulimie, une indication pour se perdre;ERES_VINCE_2008_01;http://www.cairn.info/la-boulimie-une-indication-pour-se-perdre--9782749209876.htm
Briser la spirale des conflits;DBU_BANQU_2005_01;http://www.cairn.info/briser-la-spirale-des-conflits-guerre-civile--9782804147716.htm
Cadres&nbsp: la grande rupture;DEC_BOUFF_2001_01;http://www.cairn.info/cadres-la-grande-rupture--9782707134721.htm
Le cancer : approche psychodynamique chez l’adulte;ERES_BENSO_2004_01;http://www.cairn.info/le-cancer-approche-psychodynamique-chez-l-adulte--2749203139.htm
Cancer et maternité;ERES_LOF_2012_01;http://www.cairn.info/cancer-et-maternite--9782749215280.htm
Cancer et recherches en sciences humaines;ERES_REYNI_2008_01;http://www.cairn.info/cancer-et-recherches-en-sciences-humaines--9782749208572.htm
Cannabis;DBU_STREE_2008_01;http://www.cairn.info/cannabis--9782804157128.htm
Capital humain et dualisme sur le marché du travail;DBU_CROIX_2002_01;http://www.cairn.info/capital-humain-et-dualisme-sur-le-marche-du-travai--9782804139940.htm
Capital social et dynamique régionale;DBU_HOUAR_2005_01;http://www.cairn.info/capital-social-et-dynamique-regionale--9782804149420.htm
Capitales de la modernité;ECLA_SIMAY_2005_01;http://www.cairn.info/capitales-de-la-modernite--9782841621088.htm
Cent mots pour les bébés d’aujourd’hui;ERES_BENSO_2009_01;http://www.cairn.info/cent-mots-pour-les-bebes-d-aujourd-hui--9782749210575.htm
Les chaos du vieillissement;ERES_PERSO_2003_01;http://www.cairn.info/les-chaos-du-vieillissement--9782749202235.htm
Charges de famille;DEC_WEBER_2003_01;http://www.cairn.info/charges-de-famille--9782707141347.htm
Les chercheurs et l'innovation;QUAE_INRA_1998_01;http://www.cairn.info/les-chercheurs-et-l-innovation--9782738008206.htm
Le choc colonial et l'islam;DEC_LUIZA_2006_01;http://www.cairn.info/le-choc-colonial-et-l-islam--9782707146960.htm
Le choc des métropoles;ECLA_FUZES_2008_01;http://www.cairn.info/le-choc-des-metropoles--9782303000840.htm
